variant,objective,stop_loss_pct,super_peak_drawdown_pct,super_decline_days,daily_super_outflow_cum_amount_ratio,max_holding_days,trade_count,win_rate,avg_return_pct,avg_gross_return_pct,median_return_pct,max_return_pct,min_return_pct,avg_holding_days,total_return_pct_signal_sum
stop8_dd20_days3,2.2114,-8.0,0.2,3,0.025,40,82,59.76,3.21,3.73,2.75,62.3,-18.38,8.39,263.43
stop8_dd25_days3,2.2114,-8.0,0.25,3,0.025,40,82,59.76,3.21,3.73,2.75,62.3,-18.38,8.39,263.43
stop8_dd30_days3,2.2114,-8.0,0.3,3,0.025,40,82,59.76,3.21,3.73,2.75,62.3,-18.38,8.39,263.43
stop10_dd20_days3,2.1414,-10.0,0.2,3,0.025,40,82,59.76,3.01,3.53,2.75,62.3,-18.38,8.5,247.2
stop10_dd25_days3,2.1414,-10.0,0.25,3,0.025,40,82,59.76,3.01,3.53,2.75,62.3,-18.38,8.5,247.2
stop10_dd30_days3,2.1414,-10.0,0.3,3,0.025,40,82,59.76,3.01,3.53,2.75,62.3,-18.38,8.5,247.2
stop12_dd20_days3,1.6856,-12.0,0.2,3,0.025,40,82,59.76,2.31,2.82,2.75,62.3,-23.65,8.71,189.34
stop12_dd25_days3,1.6856,-12.0,0.25,3,0.025,40,82,59.76,2.31,2.82,2.75,62.3,-23.65,8.71,189.34
stop12_dd30_days3,1.6856,-12.0,0.3,3,0.025,40,82,59.76,2.31,2.82,2.75,62.3,-23.65,8.71,189.34
stop8_dd30_days2,1.6247,-8.0,0.3,2,0.025,40,82,58.54,3.17,3.68,1.64,62.3,-18.38,7.17,259.57
stop10_dd30_days2,1.5687,-10.0,0.3,2,0.025,40,82,58.54,3.01,3.53,1.64,62.3,-18.38,7.26,246.82
stop8_dd20_days2,1.5057,-8.0,0.2,2,0.025,40,82,58.54,2.83,3.34,1.64,62.3,-18.38,7.01,232.03
stop8_dd25_days2,1.5057,-8.0,0.25,2,0.025,40,82,58.54,2.83,3.34,1.64,62.3,-18.38,7.01,232.03
stop10_dd20_days2,1.4497,-10.0,0.2,2,0.025,40,82,58.54,2.67,3.19,1.64,62.3,-18.38,7.1,219.28
stop10_dd25_days2,1.4497,-10.0,0.25,2,0.025,40,82,58.54,2.67,3.19,1.64,62.3,-18.38,7.1,219.28
stop12_dd30_days2,1.1094,-12.0,0.3,2,0.025,40,82,58.54,2.3,2.82,1.64,62.3,-23.65,7.46,188.96
stop12_dd20_days2,0.9939,-12.0,0.2,2,0.025,40,82,58.54,1.97,2.48,1.64,62.3,-23.65,7.3,161.42
stop12_dd25_days2,0.9939,-12.0,0.25,2,0.025,40,82,58.54,1.97,2.48,1.64,62.3,-23.65,7.3,161.42
