signal_set,rule,trade_count,win_rate,avg_return_pct,avg_gross_return_pct,median_return_pct,max_return_pct,min_return_pct,avg_holding_days,total_return_pct_signal_sum,ge30,ge30_combined,ge50,ge50_combined,top50,top50_combined,early_exit_count,hard_stop_count
prototype_direct,no_early,263,39.92,0.38,0.88,-6.56,128.39,-20.16,6.5,99.76,121,136,59,65,17,19,0,124
prototype_direct,early_capital_escape_soft,263,36.5,0.91,1.42,-4.54,128.39,-17.74,5.44,239.86,121,136,59,65,17,19,100,38
prototype_direct,early_capital_escape_mid,263,38.4,0.7,1.2,-5.47,128.39,-17.74,5.94,184.05,121,136,59,65,17,19,79,54
prototype_direct,early_capital_escape_hard,263,39.54,0.73,1.23,-5.32,128.39,-17.74,6.17,191.81,121,136,59,65,17,19,85,45
buy_point_callback,no_early,62,37.1,0.92,1.43,-5.49,97.77,-15.22,7.69,57.1,40,55,20,26,6,8,0,30
buy_point_callback,early_capital_escape_soft,62,29.03,-1.26,-0.77,-4.63,54.79,-15.22,5.26,-78.17,40,55,20,26,6,8,26,12
buy_point_callback,early_capital_escape_mid,62,30.65,-0.04,0.46,-5.04,97.77,-15.22,6.02,-2.72,40,55,20,26,6,8,21,15
buy_point_callback,early_capital_escape_hard,62,32.26,-0.04,0.46,-5.49,97.77,-15.22,6.92,-2.28,40,55,20,26,6,8,21,12
buy_point_quality,no_early,15,66.67,7.48,8.02,3.72,52.44,-9.95,9.87,112.16,11,26,6,12,1,3,0,4
buy_point_quality,early_capital_escape_soft,15,53.33,5.25,5.77,1.46,52.44,-9.95,7.33,78.71,11,26,6,12,1,3,4,2
buy_point_quality,early_capital_escape_mid,15,53.33,4.98,5.51,1.46,52.44,-9.95,7.73,74.72,11,26,6,12,1,3,3,3
buy_point_quality,early_capital_escape_hard,15,53.33,5.22,5.75,1.46,52.44,-9.85,8.93,78.33,11,26,6,12,1,3,4,2
